Roll Number,Total Marks,Rank
103434,1277,1
114816,1273,2
112893,1270,3
112899,1270,4
112894,1268,5
112898,1266,6
160024,1266,7
103225,1265,8
114648,1265,9
103351,1265,10
103482,1264,11
115130,1263,12
117276,1262,13
103365,1261,14
124531,1261,15
103431,1260,16
102616,1260,17
112896,1259,18
117259,1259,19
103355,1259,20
113354,1259,21
103299,1258,22
110530,1258,23
117314,1258,24
113008,1258,25
130678,1258,26
116066,1258,27
103298,1258,28
113344,1257,29
112897,1257,30
112892,1257,31
130612,1257,32
160027,1257,33
103655,1256,34
101590,1256,35
130582,1256,36
103370,1256,37
123692,1256,38
103317,1256,39
103659,1255,40
100521,1255,41
103435,1255,42
103493,1255,43
119605,1255,44
112943,1254,45
106622,1254,46
102615,1254,47
103679,1254,48
113007,1254,49
103660,1254,50
124280,1253,51
113015,1253,52
112904,1253,53
117191,1253,54
123870,1253,55
115047,1253,56
117269,1253,57
123869,1252,58
103396,1252,59
115072,1252,60
113794,1252,61
114727,1252,62
103456,1252,63
110845,1251,64
113016,1251,65
113372,1251,66
115123,1251,67
130595,1251,68
112925,1251,69
108839,1251,70
103419,1250,71
116216,1250,72
103430,1250,73
119604,1250,74
115459,1250,75
103658,1250,76
117192,1250,77
103297,1250,78
112902,1249,79
100529,1249,80
123689,1249,81
100280,1249,82
112931,1249,83
103476,1249,84
109532,1249,85
112958,1249,86
115078,1249,87
130594,1249,88
123885,1249,89
103443,1249,90
115472,1248,91
110875,1248,92
123643,1248,93
116065,1248,94
100345,1248,95
112938,1248,96
100527,1248,97
100537,1248,98
117075,1248,99
113014,1248,100
103387,1248,101
110541,1247,102
117156,1247,103
116051,1247,104
123686,1247,105
106629,1247,106
103261,1247,107
111308,1247,108
103518,1247,109
112932,1247,110
103228,1247,111
117258,1247,112
119580,1247,113
103436,1247,114
117311,1247,115
113009,1246,116
113036,1246,117
103694,1246,118
123362,1246,119
130987,1246,120
113376,1246,121
103403,1246,122
115900,1246,123
100259,1246,124
100262,1245,125
103653,1245,126
