Roll Number,Total Marks,Rank
514697,1238,1
531941,1223,2
534974,1223,3
524852,1222,4
535408,1222,5
549167,1213,6
534985,1211,7
517098,1209,8
538448,1208,9
535196,1206,10
518981,1206,11
504707,1206,12
502065,1206,13
519084,1205,14
517097,1204,15
526594,1204,16
524187,1201,17
528149,1201,18
526434,1201,19
538446,1198,20
538445,1197,21
526577,1197,22
517102,1197,23
500008,1196,24
514690,1195,25
519054,1195,26
538590,1194,27
535410,1194,28
537754,1193,29
517096,1193,30
526560,1191,31
511208,1191,32
532724,1191,33
539639,1190,34
521956,1190,35
526576,1190,36
532233,1190,37
517107,1189,38
511913,1189,39
506783,1188,40
500368,1188,41
525630,1186,42
549540,1186,43
524850,1185,44
501248,1185,45
534980,1184,46
534534,1184,47
549165,1184,48
549283,1182,49
538433,1182,50
547077,1180,51
539893,1180,52
500366,1180,53
522709,1180,54
518189,1180,55
534983,1180,56
538587,1179,57
524241,1179,58
526157,1179,59
514705,1179,60
534457,1178,61
550635,1178,62
524251,1176,63
525487,1175,64
514460,1175,65
515443,1174,66
543028,1174,67
537831,1174,68
516137,1174,69
526566,1174,70
522767,1173,71
504046,1173,72
538565,1173,73
519006,1173,74
500367,1173,75
518668,1173,76
531792,1173,77
538859,1173,78
513949,1172,79
538609,1172,80
516625,1172,81
526152,1172,82
502063,1172,83
529659,1171,84
514666,1171,85
535419,1171,86
516135,1171,87
515020,1171,88
514610,1171,89
522418,1170,90
524235,1169,91
514609,1168,92
526675,1168,93
525443,1168,94
534746,1168,95
541262,1167,96
519491,1167,97
518989,1167,98
537859,1167,99
502066,1167,100
534952,1167,101
519056,1166,102
526149,1166,103
549166,1166,104
535191,1166,105
524186,1165,106
550607,1165,107
527821,1165,108
502068,1165,109
538456,1165,110
502069,1165,111
530149,1165,112
549948,1165,113
535411,1165,114
500009,1164,115
526155,1164,116
500004,1164,117
509924,1164,118
539891,1164,119
518982,1164,120
522606,1164,121
508276,1164,122
515247,1164,123
513078,1163,124
515542,1163,125
523241,1163,126
500005,1163,127
502286,1163,128
524877,1163,129
508307,1163,130
503282,1163,131
539017,1163,132
526561,1163,133
538443,1162,134
519059,1162,135
539009,1162,136
519122,1162,137
515495,1162,138
515384,1162,139
519009,1161,140
502064,1161,141
535213,1161,142
526528,1161,143
524348,1160,144
518807,1159,145
523266,1159,146
537667,1159,147
534908,1159,148
503287,1159,149
545818,1158,150
516202,1158,151
530410,1158,152
515561,1158,153
523722,1158,154
517658,1158,155
