Roll Number,Total Marks,Rank
308975,1228,1
303444,1216,2
320583,1199,3
303990,1190,4
322262,1190,5
320584,1185,6
312598,1183,7
334998,1183,8
306693,1182,9
324524,1173,10
306627,1173,11
320538,1172,12
312597,1171,13
304852,1167,14
306727,1158,15
320530,1156,16
315720,1155,17
324769,1154,18
320587,1154,19
320586,1151,20
308067,1149,21
303449,1148,22
312602,1148,23
309044,1148,24
316159,1147,25
313869,1147,26
317717,1147,27
306748,1146,28
309043,1143,29
317392,1143,30
335649,1142,31
303600,1140,32
308023,1139,33
315298,1137,34
310892,1137,35
337573,1134,36
317813,1133,37
303446,1132,38
302274,1132,39
321893,1130,40
320457,1130,41
316155,1129,42
320533,1129,43
312865,1128,44
308068,1128,45
308518,1128,46
312118,1127,47
318907,1126,48
335373,1125,49
321654,1125,50
334999,1124,51
318142,1123,52
311797,1123,53
316156,1122,54
308373,1120,55
307628,1120,56
311802,1119,57
308393,1119,58
320588,1119,59
335744,1118,60
307981,1118,61
324770,1118,62
319605,1117,63
335727,1117,64
328658,1117,65
308726,1117,66
311799,1116,67
306728,1115,68
303445,1114,69
305063,1112,70
309042,1112,71
316157,1111,72
322959,1110,73
335547,1110,74
304963,1109,75
322856,1108,76
308167,1108,77
303447,1106,78
321974,1106,79
334926,1106,80
317824,1106,81
310994,1105,82
316006,1105,83
325449,1105,84
312614,1105,85
314450,1104,86
333187,1103,87
325635,1103,88
339209,1102,89
310055,1102,90
312037,1102,91
315596,1101,92
328481,1101,93
304849,1101,94
326108,1100,95
324490,1100,96
315407,1100,97
324527,1100,98
304851,1099,99
310763,1099,100
324733,1099,101
320445,1097,102
325456,1097,103
314743,1096,104
330014,1096,105
337562,1095,106
308725,1095,107
335944,1095,108
300726,1095,109
304896,1095,110
324525,1095,111
315027,1094,112
301722,1094,113
335881,1094,114
309837,1093,115
308734,1093,116
306630,1093,117
300108,1092,118
320536,1092,119
312114,1091,120
334364,1091,121
325442,1091,122
307630,1090,123
312686,1090,124
306027,1090,125
315064,1090,126
315598,1089,127
303849,1089,128
323687,1089,129
326112,1089,130
318513,1089,131
304859,1089,132
320167,1088,133
321896,1088,134
312791,1088,135
336327,1088,136
324528,1088,137
304862,1087,138
322428,1087,139
320579,1086,140
324734,1086,141
324523,1086,142
327544,1086,143
308465,1085,144
301929,1085,145
317842,1085,146
324774,1085,147
315601,1084,148
318808,1084,149
335952,1084,150
312181,1084,151
316007,1083,152
314663,1083,153
321805,1083,154
329417,1083,155
317023,1082,156
323964,1082,157
307984,1082,158
308727,1081,159
315062,1081,160
338411,1081,161
324831,1081,162
319056,1081,163
321976,1080,164
320709,1079,165
301691,1079,166
303460,1079,167
307629,1079,168
321565,1079,169
315307,1078,170
321972,1078,171
324771,1078,172
315306,1077,173
303064,1077,174
302280,1076,175
305115,1076,176
308394,1076,177
306633,1075,178
314448,1075,179
320537,1075,180
309864,1074,181
303584,1074,182
314449,1074,183
319900,1074,184
316160,1073,185
312599,1073,186
323963,1073,187
320219,1073,188
316005,1073,189
318807,1073,190
317751,1072,191
311141,1072,192
324522,1072,193
304897,1072,194
324529,1072,195
325443,1072,196
317812,1071,197
312458,1071,198
337809,1071,199
304429,1071,200
322458,1071,201
305065,1071,202
316158,1071,203
306674,1070,204
304694,1070,205
332626,1070,206
307410,1069,207
322263,1069,208
329956,1069,209
320585,1069,210
318908,1069,211
