Roll Number,Total Marks
116148,1218
116149,1164
116150,1193
116151,1226
116152,1224
116153,1230
116154,1198
116155,1200
116156,1205
116157,1221
116158,1229
116159,1234
116160,1223
116161,1160
116162,1157
116163,1187
116164,1173
116165,1228
116166,1124
116167,1073
116168,1130
116169,1158
116170,1197
116171,1127
116172,1141
116173,1132
116174,1089
116175,1126
116176,1067
116177,1098
116178,1099
116179,1070
116180,1028
116181,1019
116182,1048
116183,1076
116184,1105
116185,1090
116186,0
116187,1044
116188,1071
116189,1115
116190,996
116191,1161
116192,1039
116193,1019
116194,969
116195,914
116196,1004
116197,1119
116198,1002
116199,1045
116200,1036
116201,987
116202,1188
116203,1183
116204,1143
116205,1225
116206,1126
116207,1158
116208,1157
116209,1127
116210,1211
116211,1121
116212,1154
116213,1111
116214,1154
116215,1114
116216,1250
116217,1240
116218,981
116219,1134
116220,1156
116221,1183
116222,1189
116223,1231
116224,1186
116225,1032
116226,1077
116227,1234
116228,1060
116229,1090
116230,1127
116231,1188
116232,1090
116233,1144
116234,1186
116235,1177
116236,1200
116237,1138
116238,1193
116239,1203
116240,1153
116241,1112
116242,1098
116243,1121
116244,1160
116245,1164
116246,1079
116247,1161
116248,1150
116249,1080
116250,1057
116251,1117
116252,1110
116253,1097
116254,986
116255,1106
116256,1092
116257,1104
116258,1148
116259,1133
116260,984
116261,891
116262,1013
116263,1059
116264,1143
116265,1074
116266,1092
116267,1128
116268,1067
116269,1099
116270,1053
116271,1024
116272,1177
116273,1043
116274,1089
116275,1081
116276,1158
116277,859
116278,0
116279,996
116280,1107
116281,1089
116282,1126
116283,1182
116284,1210
116285,1094
116286,1185
116287,1172
116288,1128
116289,1123
116290,1085
116291,1082
116292,1038
116293,1089
116294,946
116295,1101
116296,1093
116297,1119
116298,995
116299,1067
116300,1224
116301,1044
116302,1130
116303,1074
116304,1088
116305,1100
116306,1051
116307,998
116308,965
116309,862
116310,998
116311,1187
116312,991
116313,1048
116314,0
116315,1032
116316,969
116317,1145
116318,1083
116319,955
116320,0
116321,1083
116322,954
116323,883
116324,0
116325,972
116326,937
116327,0
116328,1176
116329,1103
116330,980
116331,1201
116332,1034
116333,913
116334,1126
116335,1134
116336,1197
116337,1020
116338,1041
116339,1125
116340,1187
116341,991
116342,1089
116343,902
116344,1069
116345,1069
116346,1108
116347,1153
116348,1240
116349,950
116350,1064
116351,1057
116352,1085
116353,995
116354,909
116355,848
116356,1040
116357,1040
116358,1043
116359,959
116360,1114
116361,1026
116362,1160
116363,1007
116364,1042
116365,964
116366,1075
116367,1117
116368,1156
116369,900
116370,970
116371,1151
116372,930
116373,1033
116374,978
116375,1063
116376,983
116377,1070
116378,1133
116379,1001
116380,1139
116381,883
116382,898
116383,955
116384,888
116385,1000
116386,1202
116387,1096
116388,1120
116389,1053
116390,947
116391,985
116392,813
116393,1048
116394,1135
116395,976
116396,912
116397,906
116398,910
116399,873
116400,0
116401,1093
116402,1027
116403,1057
116404,1004
116405,944
116406,1011
116407,1092
116408,959
116409,908
116410,1087
116411,835
116412,1152
116413,1094
116414,865
